FID;Longitude;Latitude;wkd_day_value;wnd_day_value;wkd_night_value;wnd_night_value;mean_value_NO2;radiation;nightlight_450;nightlight_4950;nightlight_3150;nightlight_900;elevation;industry_1000;industry_100;industry_25;industry_3000;industry_300;industry_5000;industry_500;industry_50;population_1000;population_3000;population_5000;road_class_1_1000;road_class_1_100;road_class_1_25;road_class_1_3000;road_class_1_300;road_class_1_5000;road_class_1_500;road_class_1_50;road_class_2_1000;road_class_2_100;road_class_2_25;road_class_2_3000;road_class_2_300;road_class_2_5000;road_class_2_500;road_class_2_50;road_class_3_1000;road_class_3_100;road_class_3_25;road_class_3_3000;road_class_3_300;road_class_3_5000;road_class_3_500;road_class_3_50;temperature_2m_10;temperature_2m_11;temperature_2m_12;temperature_2m_1;temperature_2m_2;temperature_2m_3;temperature_2m_4;temperature_2m_5;temperature_2m_6;temperature_2m_7;temperature_2m_8;temperature_2m_9;TROP_2018;wind_speed_10m_10;wind_speed_10m_11;wind_speed_10m_12;wind_speed_10m_1;wind_speed_10m_2;wind_speed_10m_3;wind_speed_10m_4;wind_speed_10m_5;wind_speed_10m_6;wind_speed_10m_7;wind_speed_10m_8;wind_speed_10m_9;trop_mean_filt_2019
0;10.008293;48.397079;30.71195652;24.26338776;30.43848558;28.94747619;29.25049983;3.192437;22.585377;8.363607;13.402575;21.461321;473.936554;330625;0;0;4466250;39375;6101250;92500;0;8123.319336;54316.64453;95795.42188;0;0;0;25200.30273;0;49436.99219;0;0;0;0;0;7335.407715;0;28671.41016;0;0;31902.11328;313.874695;67.135361;203502.4219;4167.064941;373058.6875;8838.760742;180.451675;10.528473;3.994838;0.855892;-4.079916;2.809515;6.935457;7.397969;13.671423;18.533785;18.813995;18.982145;12.485922;365.725586;2.585911;2.669442;2.989511;2.531975;2.521507;2.995023;2.301084;1.968707;2.190526;2.260399;1.821999;1.986542;5.82E-05
1;10.021227;53.523262;36.08154806;24.6580599;32.50637438;26.04903457;32.09893625;2.766697;23.546194;24.685654;22.862799;23.769573;6.617548;936250;0;0;6596250;19375;16483125;131875;0;9558.207031;76786.28125;215604.75;11369.98047;0;0;34764.07031;1696.450439;62711.52344;2980.910156;0;0;0;0;8974.225586;0;47182.19922;0;0;14582.22754;440.061707;0;99596.04688;1850.278076;313205.7188;5933.034668;58.030884;12.299079;6.153886;3.775151;0.131844;2.82556;6.828553;7.554647;13.972361;17.087158;17.23823;17.520105;13.991841;470.292419;3.86985;3.246683;3.802317;2.791856;3.617435;3.091028;3.455901;2.932038;3.27358;2.649281;2.828152;2.77797;8.09E-05
2;10.053859;53.592301;74.56284325;51.86378231;42.89877413;32.60059524;58.70374395;2.750459;18.29014;15.945211;16.493486;18.070522;18.593605;2500;0;0;343125;0;1212500;0;0;10471.54102;88439.60938;222648.4063;0;0;0;0;0;11057.72949;0;0;5136.330566;270.224976;46.359188;30608.84375;1437.363037;84130.39844;2333.146484;108.745453;34317.21094;157.915741;10.258605;265563.7188;2016.838379;646760.625;6662.844727;52.477299;12.236689;6.117405;3.744394;0.196013;2.759445;6.723662;7.453573;13.866946;16.986099;17.125896;17.437189;13.936767;457.47995;3.886321;3.264446;3.828975;2.811795;3.632486;3.095585;3.479126;2.962678;3.304003;2.66049;2.845692;2.803313;7.60E-05
3;10.081685;53.52902;26.52355143;16.09580952;27.55148649;20.9293087;24.2492763;2.763114;23.645823;15.955007;18.248226;23.70048;6.414716;2310625;26250;3125;7480000;202500;12168125;645000;8125;11165.94531;76961;185735.3125;0;0;0;30830.10938;0;84649.88281;0;0;3274.291504;0;0;10970.24219;360.046448;43145.62891;1070.490845;0;5462.023438;0;0;97921.5625;478.363281;335725.4688;1218.836426;0;12.291795;6.15779;3.780677;0.151163;2.806958;6.828012;7.541582;13.961545;17.076553;17.226942;17.526148;13.988644;449.37674;3.872474;3.254827;3.813373;2.795249;3.612747;3.088789;3.455786;2.933839;3.278978;2.649732;2.834826;2.784097;7.44E-05
4;10.096292;48.847917;20.84728443;14.9668956;22.12134945;19.60362954;19.91211586;3.156638;14.026642;2.950591;5.514785;12.241304;425.482941;130625;0;0;1336250;0;2156875;0;0;6017.51123;30814.58984;45546.56641;0;0;0;0;0;0;0;0;0;0;0;13610.71973;0;27684.44922;0;0;26897.01367;266.764557;0;176265.6875;3338.221191;278326.3438;8147.51123;1.983828;10.17288;3.802459;0.70022;-5.337095;2.631475;6.593236;6.84873;13.228516;18.228699;18.420507;18.483044;12.072542;315.416809;2.684475;2.59126;2.986286;2.621415;2.644443;3.022199;2.41509;2.08048;2.410803;2.382735;1.981417;1.993214;4.68E-05
5;10.1056;54.34761;14.52629989;10.29081186;12.37821092;9.974674157;12.77460235;2.782207;10.782382;9.131347;9.647435;10.399123;25.375525;68125;0;0;1281875;0;2888125;0;0;5727.92041;55458.4375;110229.75;7493.876953;0;0;29897.34766;0;61925.52344;0;0;0;0;0;0;0;0;0;0;18192.58203;512.744568;0;189140.375;2354.683838;351467.2188;5158.918945;7.785707;12.005487;6.109425;3.84181;0.778515;2.425786;5.975946;7.080924;13.058936;16.190845;16.514624;16.929386;13.910538;314.068878;4.607094;3.904924;4.720825;3.513227;4.399966;3.795672;4.17104;3.83249;4.0899;3.276434;3.572206;3.497412;4.54E-05
6;10.110595;53.63074;18.05361726;13.92568707;16.33444444;15.0659881;16.57348187;2.744509;5.603774;7.723279;7.275455;5.643362;32.9081;0;0;0;0;0;126250;0;0;7073.637207;59830.94141;161385.5156;0;0;0;0;0;26.855465;0;0;0;0;0;7524.382812;0;26863.71875;0;0;27464.2207;0;0;220573.6563;1875.949829;549974.9375;6998.213867;0;12.177688;6.079766;3.713936;0.209412;2.699939;6.666256;7.377436;13.774351;16.884092;17.035334;17.371847;13.87603;401.005981;3.894633;3.275814;3.848201;2.822302;3.632759;3.097129;3.486503;2.979401;3.320787;2.666224;2.860915;2.821612;6.35E-05
7;10.116563;54.309674;17.61946533;14.6295614;15.97461145;15.5113555;16.45755558;2.771312;21.482809;10.509097;15.213507;21.799574;28.02807;36250;0;0;1539375;0;4576875;31875;0;9508.3125;61249.29688;134199.1563;7759.107422;0;0;31928.08594;937.601746;74248.01563;3174.211914;0;267.422577;0;0;6977.304688;0;8213.617188;0;0;30495.28906;0;0;184198.8125;768.187256;428739.5313;4142.129395;0;11.966981;6.047022;3.788786;0.732059;2.431989;5.997315;7.057374;13.075539;16.193617;16.489426;16.90667;13.8592;323.703735;4.493063;3.803655;4.59826;3.430305;4.307458;3.71909;4.079073;3.737713;3.994388;3.193913;3.484995;3.406836;4.38E-05
8;10.122364;54.304242;70.08306993;53.7647619;43.71244326;28.18260714;56.70557988;2.769604;17.584509;10.043362;14.185166;17.556995;17.829941;58125;0;0;1519375;0;4268125;2500;0;8481.643555;58855.85156;129681.3125;6917.74707;447.030487;88.525085;29060.39453;1854.377441;69381.63281;3613.97168;209.399506;1669.320557;0;0;7199.179688;91.572922;8978.816406;1137.307129;0;23044.73047;269.867462;9.10287;176717.2813;2896.705078;414701.4375;5581.993164;43.389343;11.961098;6.038601;3.780938;0.723503;2.431751;6.000372;7.054875;13.077626;16.19483;16.487154;16.906002;13.852473;323.294403;4.481;3.793772;4.585758;3.421574;4.297059;3.711402;4.070135;3.729419;3.985202;3.186364;3.477023;3.398247;4.31E-05
9;10.135158;54.304676;52.68856985;38.36990244;28.84816109;24.23133657;41.57470413;2.767282;26.395731;10.417584;15.497952;24.411997;11.160233;45625;0;0;1865625;1250;4488750;22500;0;9497.020508;62611.19922;129810.1406;5988.72998;0;0;28269.45898;1282.389893;60037.80078;2556.374023;0;2689;0;0;7577.068359;0;10390.55664;54.502705;0;27024.55078;623.393677;46.158142;188735.9688;3427.970703;418706.4688;7414.824219;97.396652;11.959908;6.039738;3.780123;0.717459;2.42842;6.000077;7.057378;13.076917;16.197636;16.491152;16.913706;13.854518;323.581696;4.494476;3.808265;4.601618;3.431528;4.306182;3.721778;4.083551;3.745924;3.999305;3.199806;3.491134;3.411958;4.27E-05
