,Longitude,Latitude,mean_value_NO2,nightlight_450,nightlight_3150,population_1000,population_3000,road_class_2_25,road_class_3_3000,road_class_3_300,trop_mean_filt_2019,BldDen100,NDVI,trafBuf25,trafBuf50
0,10.008293,48.397079,29.25049983,22.585377,13.402575,8123.319336,54316.64453,0.0,203502.4219,4167.064941,5.82e-05,1.000663452,2310.0,0.0,0.0
1,10.021227,53.523262,32.09893625,23.546194,22.862799,9558.207031,76786.28125,0.0,99596.04688,1850.278076,8.09e-05,0.978244756,2518.0,0.0,0.0
2,10.053859,53.592301,58.70374395,18.29014,16.493486,10471.54102,88439.60938,46.359188,265563.7188,2016.838379,7.6e-05,0.914638137,3216.0,674.7916667,674.7916667
3,10.081685,53.52902,24.2492763,23.645823,18.248226,11165.94531,76961.0,0.0,97921.5625,478.363281,7.44e-05,0.712982933,1052.0,0.0,0.0
4,10.096292,48.847917,19.91211586,14.026642,5.514785,6017.51123,30814.58984,0.0,176265.6875,3338.221191,4.68e-05,1.00064137,3240.0,0.0,0.0
5,10.1056,54.34761,12.77460235,10.782382,9.647435,5727.92041,55458.4375,0.0,189140.375,2354.683838,4.54e-05,0.56383569,3959.0,0.0,0.0
6,10.110595,53.63074,16.57348187,5.603774,7.275455,7073.637207,59830.94141,0.0,220573.6563,1875.949829,6.35e-05,0.531829584,5484.0,0.0,0.0
7,10.116563,54.309674,16.45755558,21.482809,15.213507,9508.3125,61249.29688,0.0,184198.8125,768.187256,4.38e-05,0.543958893,2767.0,0.0,0.0
8,10.122364,54.304242,56.70557988,17.584509,14.185166,8481.643555,58855.85156,0.0,176717.2813,2896.705078,4.31e-05,0.929323817,2843.0,0.0,0.0
9,10.135158,54.304676,41.57470413,26.395731,15.497952,9497.020508,62611.19922,0.0,188735.9688,3427.970703,4.27e-05,1.000666452,2619.0,0.0,0.0
10,10.232076,50.048397,23.200499,28.632786,13.579382,7147.34375,41015.28906,0.0,183477.3906,3731.666748,5.12e-05,0.632598229,2581.0,0.0,0.0
11,10.23854,51.50758,11.377032,3.304234,1.031076,2356.555176,10887.17188,0.0,71752.3125,1622.805786,4.25e-05,0.707681573,5414.0,0.0,0.0
12,10.240596,54.09323,9.008212992,0.001368,0.205652,33.54018,2524.043945,0.0,30844.875,0.0,4.33e-05,0.0,6725.0,0.0,0.0
13,10.306561,47.72514,20.11613892,13.132953,6.154352,9720.375,45281.92969,0.0,162002.4531,4007.60791,4e-05,1.000564304,3870.0,0.0,0.0
14,10.317236,50.978292,13.50572769,16.045229,5.469054,6769.301758,24665.21875,0.0,113691.9531,3770.226562,4.12e-05,0.982564061,2704.0,0.0,0.0
15,10.325,49.44406,11.81461048,1.293187,0.643846,708.518982,2396.568604,0.0,43383.57031,1920.522339,4.47e-05,0.685183745,3384.0,0.0,0.0
16,10.375299,50.561754,8.849884781,5.407345,1.045812,2026.696167,5546.063965,0.0,46563.78516,933.003967,3.96e-05,0.49091629,3446.0,0.0,0.0
17,10.404232,47.518013,7.107585508,1.952001,0.307972,472.367584,1827.174072,0.0,13990.53125,901.624573,2.69e-05,0.167233989,5416.0,0.0,0.0
18,10.42275,51.61365,22.55738956,1.019166,0.398931,1476.945923,5191.802734,0.0,49057.34375,2647.013428,3.89e-05,1.00056196,4258.0,29.04166667,29.04166667
