,variable,variable importance
15,population_3000,2.481984122334554
36,road_class_3_3000,1.7654325807750215
83,trafBuf25,1.1410859180101418
1,nightlight_450,1.057955730376723
14,population_1000,1.0191103703256108
3,nightlight_3150,0.6220532190177679
84,trafBuf50,0.5862079740401052
79,BldDen100,0.5087238377066576
37,road_class_3_300,0.4635978063701825
27,road_class_2_25,0.3702180723975555
38,road_class_3_5000,0.3607304144371474
26,road_class_2_100,0.34898084533756746
85,trafBuf100,0.34540737719926035
66,trop_mean_filt_2019,0.34170795487905886
82,NDVI,0.3292012676367654
22,road_class_1_5000,0.29545306838407015
16,population_5000,0.2661793050857592
32,road_class_2_50,0.2578405612351217
4,nightlight_900,0.2362179014473677
34,road_class_3_100,0.22151145823495852
2,nightlight_4950,0.21184721341247026
53,TROP_2018,0.18355987062044254
20,road_class_1_3000,0.17642439593691117
71,may,0.14751805545876148
80,BldDen500,0.1471508793934039
40,road_class_3_50,0.13742291414284963
87,trafBuf800,0.12014856456667641
45,temperature_2m_2,0.11830344081383433
78,dec,0.11569734001997398
35,road_class_3_25,0.11384939891065024
72,jun,0.09640382803521357
86,trafBuf400,0.09322906368962672
73,jul,0.07661596376805187
77,nov,0.07569414551761092
33,road_class_3_1000,0.07463595809903742
23,road_class_1_500,0.06850363908215945
11,industry_5000,0.06674435838739899
0,radiation,0.06603609017457483
60,wind_speed_10m_4,0.06598460399373794
69,mar,0.06355962513939817
29,road_class_2_300,0.05611151498720104
17,road_class_1_1000,0.053954642641419505
28,road_class_2_3000,0.05109059792950582
75,sep,0.04943535748261567
46,temperature_2m_3,0.048794968762533864
39,road_class_3_500,0.0483636882307428
25,road_class_2_1000,0.048019341713937576
30,road_class_2_5000,0.04760041201833317
55,wind_speed_10m_11,0.045974081379936124
6,industry_1000,0.04553958183014355
76,oct,0.04500194210616844
9,industry_3000,0.04494786134376065
56,wind_speed_10m_12,0.04443972499140649
5,elevation,0.04436707707915196
57,wind_speed_10m_1,0.0443062200189726
41,temperature_2m_10,0.04258530207252701
70,apr,0.04213723467460338
74,aug,0.04150408644974348
47,temperature_2m_4,0.040933258383998514
81,BldDen1000,0.040826542627714985
49,temperature_2m_6,0.03926625562410697
62,wind_speed_10m_6,0.036321246625525036
31,road_class_2_500,0.03617553227293172
64,wind_speed_10m_8,0.03542080377436013
51,temperature_2m_8,0.03541151656894096
67,jan,0.03413892312504919
65,wind_speed_10m_9,0.03345519569827853
63,wind_speed_10m_7,0.03299495007933402
61,wind_speed_10m_5,0.03248843335655497
50,temperature_2m_7,0.03247318766466291
68,feb,0.032104022460811774
21,road_class_1_300,0.031537541711519505
48,temperature_2m_5,0.03141331246784954
58,wind_speed_10m_2,0.028473782832685746
42,temperature_2m_11,0.026891830117666455
54,wind_speed_10m_10,0.026655233975927145
43,temperature_2m_12,0.02639424700304971
44,temperature_2m_1,0.026164035248944194
52,temperature_2m_9,0.025980950582389216
18,road_class_1_100,0.02257607935269784
59,wind_speed_10m_3,0.02216503378920806
12,industry_500,0.017721785265495473
10,industry_300,0.010501287596316309
19,road_class_1_25,0.009344018563857758
24,road_class_1_50,0.00523731817454079
7,industry_100,0.002622748560899138
13,industry_50,0.001308067694971618
8,industry_25,0.0011218312526949223
