"","M_id","Lopend_gemiddelde","elevation","industry_100","industry_1000","industry_25","industry_300","industry_3000","industry_50","industry_500","industry_5000","nightlight_3150","nightlight_450","nightlight_4950","nightlight_900","OMI_mean_filt","population_1000","population_3000","population_5000","radiation","road_class_1_100","road_class_1_1000","road_class_1_25","road_class_1_300","road_class_1_3000","road_class_1_50","road_class_1_500","road_class_1_5000","road_class_2_100","road_class_2_1000","road_class_2_25","road_class_2_300","road_class_2_3000","road_class_2_50","road_class_2_500","road_class_2_5000","road_class_3_100","road_class_3_1000","road_class_3_25","road_class_3_300","road_class_3_3000","road_class_3_50","road_class_3_500","road_class_3_5000","Rsp","temperature_2m_1","temperature_2m_10","temperature_2m_11","temperature_2m_12","temperature_2m_2","temperature_2m_3","temperature_2m_4","temperature_2m_5","temperature_2m_6","temperature_2m_7","temperature_2m_8","temperature_2m_9","trop_mean_filt","wind_speed_10m_1","wind_speed_10m_10","wind_speed_10m_11","wind_speed_10m_12","wind_speed_10m_2","wind_speed_10m_3","wind_speed_10m_4","wind_speed_10m_5","wind_speed_10m_6","wind_speed_10m_7","wind_speed_10m_8","wind_speed_10m_9","jan","feb","mar","apr","may","jun","jul","aug","oct","sep","nov","dec","BldDen100","BldDen500","BldDen1000","NDVI","trafBuf25","trafBuf50","trafBuf100","trafBuf400","trafBuf800","dist","Longitude","Latitude","geometry"
"1",1,28.1,5.98273468,0,260992,0,971.2241211,2321363.5,0,48727.72266,11116601,42.86590958,42.19307327,35.63895416,45.65129471,6.69433e+15,16039.00977,127329.1406,337766.0625,2.853702784,0,0,0,0,22780.91797,0,0,82977.21875,0,2592.219971,0,584.8370972,24632.15234,0,1246.44043,70853.39844,428.568573,31875.82422,105.7292633,3112.374023,240209.7031,194.9259796,8617.804688,576250.5625,9.67419529,2.010671854,13.7936554,8.069309235,5.232423782,4.876985073,8.084020615,8.58487606,14.34300137,17.68491364,17.90287971,17.62355232,14.37590313,9.45e-05,3.973312378,5.727593899,4.473109722,5.20427084,5.085861683,4.470495701,4.057295799,3.727237701,4.36528492,3.756155252,3.525402308,3.910917282,60.61250687,80.65354919,53.77706909,30.07851982,34.34557724,70.38004303,128.7770233,90.01242065,80.9697113,175.727417,106.9864883,134.7175293,0.997533875,0.953362402,0.960140742,1842,0,0,0,580.75,580.75,115.183455650176,4.874295,52.375953,c(4.874295, 52.375953)
"2",2,56.2,4.52658844,0,0,0,0,1831875,0,0,2688469.5,31.10424232,25.12612915,31.61383629,27.05598068,6.75568e+15,10025.91211,91307.34375,259490.6875,2.851421833,341.9596558,7630.72168,46.9054718,1629.569946,36646.15234,90.24802399,3282.025146,102067.3984,0,5638.231934,0,0,28936.45508,0,1.261906624,59697.10938,0,7477.381836,0,0,197022.5469,0,69.90406036,508921.875,8.966270447,1.877443075,13.74305248,7.921486855,5.113334179,4.888409138,8.107351303,8.565694809,14.41780472,17.77522659,17.93304253,17.62615585,14.30701733,8.96e-05,3.799491882,5.464197636,4.234242916,4.976476669,4.897153378,4.339992523,3.900054693,3.611098051,4.215898514,3.61700964,3.383587599,3.758448839,61.35211945,81.35917664,55.49678802,31.77747917,35.42030334,71.13963318,134.3981323,87.31525421,80.93419647,170.3199158,100.4396057,136.3811646,0.541161265,0.245163522,0.390572274,2725,3971.845502,3976.15539,3965.914341,3603.248331,2057.592956,8.57599210579559,4.897935,52.333793,c(4.897935, 52.333793)
"3",3,39.1,3.53452301,0,401313.8438,0,0,2229101.75,0,5725,6684489.5,35.13363266,32.56214142,28.82163811,34.33795929,6.64635e+15,12061.36914,113002.3984,276453.3125,2.851938009,324.7468567,5527.987793,7.714660645,1237.734619,16406.80469,50.78755569,2108.531006,88899.375,0,4555.572266,0,0,29757.46094,0,0,59120.18359,512.2394409,23771.49414,72.04234314,3009.411377,206470.1875,171.625412,8726.55957,499474.5625,9.641530037,1.932559013,13.75483131,7.992357731,5.168327808,4.853146076,8.069411278,8.56960392,14.3791132,17.71696281,17.90775681,17.60549927,14.33333492,9.2e-05,3.877808094,5.597886562,4.354056835,5.08120966,4.986571789,4.387212753,3.985368013,3.669833899,4.291438103,3.68360734,3.450706244,3.823429823,60.30218506,80.61940002,53.98750687,28.7760067,34.80175781,72.33061218,128.2397614,88.65760803,80.68929291,174.5662537,107.3057251,135.2905273,0,0.030937996,0.153521437,1182,0,1637.333333,1637.333333,1637.333333,1637.333333,44.8545877197912,4.911975,52.384423,c(4.911975, 52.384423)
"4",4,42.9,3.252728224,0,335702.1563,0,0,2253919.25,0,0,6744550,37.13220596,38.17052841,29.82604599,42.28204346,6.65107e+15,11994.63965,113426.3125,278613.2188,2.851613998,390.0481262,5057.916504,57.79318237,1221.373413,16027.75098,152.8726654,2085.636963,89963,0,4867.240723,0,0,30918.00781,0,0,59951.94922,304.3363953,21142.3418,19.73734856,2360.115479,207631.3906,67.19966125,7005.861816,507848.75,9.636688232,1.933568835,13.7556324,7.993234158,5.169054985,4.854252338,8.07052803,8.570110321,14.3789711,17.71699524,17.90803528,17.60624313,14.33400059,9.22e-05,3.878250122,5.598237991,4.35439682,5.081825256,4.986893654,4.387932301,3.985232592,3.669830322,4.291520119,3.683846712,3.451006413,3.823965788,60.30218506,80.61940002,53.98750687,28.7760067,34.80175781,72.33061218,128.2397614,88.65760803,80.68929291,174.5662537,107.3057251,135.2905273,0,0.011044106,0.144589503,637,0,1637.333333,1637.333333,1637.333333,1637.333333,30.4463243003265,4.911455,52.384033,c(4.911455, 52.384033)
"5",5,27,5.791728973,0,29488.59961,0,268.8552856,1251322.25,0,6223.437988,4941854,36.90304565,38.70410156,29.95841026,39.80381775,6.70015e+15,14933.21289,109224.3203,268250.8125,2.848737955,0,1914.580078,0,0,14947.09961,0,0,88179.25,0,6990.282715,0,0,27483.03516,0,952.99823,54304.76953,111.1496658,23020.3457,0.179775059,1305.943726,211429.8281,6.303001881,3625.287354,545223.8125,9.475897789,1.882638454,13.73443794,7.934689999,5.122883797,4.85619688,8.074542046,8.559313774,14.40507603,17.75121307,17.91853905,17.60597992,14.3072319,9.08e-05,3.822133064,5.510004997,4.275677681,5.006754875,4.925719261,4.345445633,3.934581041,3.633241892,4.243151188,3.638359547,3.404489517,3.774533987,60.3452034,80.76133728,54.36457825,29.19646645,35.17884064,73.41584778,130.83461,87.54237366,80.56183624,171.5461426,106.2491226,135.7846375,0.946324551,0.938812361,0.740328121,1536,0,0,0,1637.333333,1637.333333,335.776716003185,4.924805,52.368693,c(4.924805, 52.368693)
"6",6,34.3,7.276055336,0,1250,0,0,1386614.125,0,0,6176649.5,40.75072098,57.027668,32.97754288,57.98173523,6.7027e+15,15064.8252,123215.7188,302895.3125,2.848689556,0.509265542,2365.20752,0,381.2546997,12450.35449,0,1284.597656,102750.1094,72.35610199,5402.416992,0,577.1380005,32794.53906,0.195364639,1463.252808,60172.76563,369.5843506,18398.83008,70.29138184,2754.769287,254256.0625,140.6513672,5718.916504,579502.625,9.527196884,1.91351521,13.75002766,7.968305111,5.149608612,4.863147259,8.080517769,8.567903519,14.39186859,17.73553467,17.91558838,17.61131096,14.32424641,9.18e-05,3.851458073,5.553686142,4.314632893,5.046107769,4.95664072,4.370496273,3.957379341,3.65037632,4.266395092,3.661344767,3.428310633,3.801375628,60.46837997,80.77509308,54.27003479,29.63521576,34.97101974,72.40505219,130.5287628,88.26529694,80.72951508,172.6277161,106.0229645,135.5052032,0.996978417,0.904366972,0.776979064,2046,0,0,0,1637.333333,1631.152012,106.699754994553,4.909205,52.369293,c(4.909205, 52.369293)
"7",7,28.1,5.654540062,0,99869.38281,0,0,1260650.75,0,0,9647791,43.30646896,39.56876373,35.92507172,41.22536469,6.70562e+15,15980.43164,131827.2344,338575,2.85273838,0,0,0,0,20199.5625,0,0,83417.09375,0,2411.62085,0,485.9998169,26288.90625,0,1063.950562,70292.63281,586.4473877,27011.46289,42.04589844,3608.95752,269497.25,117.2405167,6944.114746,591990.5625,9.648513794,2.003522635,13.7919054,8.060489655,5.225566864,4.880734444,8.087921143,8.58411026,14.34800816,17.69255829,17.90597534,17.62574768,14.37235641,9.33e-05,3.963711262,5.711333752,4.458383083,5.191308975,5.075046062,4.464569092,4.047298908,3.720343351,4.356331825,3.748114586,3.517176628,3.902822971,60.92282867,80.73227692,53.76408768,30.99164772,34.27137756,69.37464142,129.5904694,90.40974426,81.13674927,175.7745819,105.4426804,134.6267395,0.993613342,0.955959649,0.964086539,1493,0,0,0,580.75,580.75,137.712629480423,4.872605,52.370293,c(4.872605, 52.370293)
"8",8,37.4,6.244177341,0,0,0,0,658632.5625,0,0,4895809.5,43.72126007,44.55224991,33.5658226,46.76322937,6.72039e+15,15572.90527,131005.8906,300750,2.847311974,0,0,0,0,16676.98828,0,0,97455.61719,193.1170807,8656.300781,48.84202576,1375.101807,33595.67578,95.26846313,4102.925293,62071.47266,144.8396759,32961.49609,16.58462334,2216.663818,252116.4531,38.23590851,8322.858398,560451.25,9.452280045,1.903300762,13.74869919,7.954655647,5.139045715,4.872148991,8.090183258,8.567882538,14.3998518,17.74777031,17.92129135,17.6166935,14.31961346,9.07e-05,3.835266829,5.525665283,4.289499283,5.024551392,4.937934875,4.361323833,3.938949108,3.637766361,4.250339508,3.647423744,3.414364576,3.788165569,60.8363533,81.08389282,54.94420624,30.05649757,35.311306,72.35551453,131.6314697,87.43030548,80.73550415,171.755722,103.3163376,136.0104828,0.818827437,0.882715715,0.899053912,1274,580.75,580.75,580.75,876.711634,1257.877975,11.2649490448521,4.904075,52.357663,c(4.904075, 52.357663)
"9",9,32.6,6.250984669,0,0,0,0,1056259.75,0,0,4488721.5,42.75717926,38.89336395,33.21660614,39.84732056,6.72361e+15,15464.87109,127894.9609,291101.5938,2.846771955,0,0,0,0,26995.43945,0,0,97595.74219,191.1403503,8794.726563,41.82718658,665.8231201,33740.96484,86.35968781,2788.497803,61129.20313,212.9706573,36729.54297,17.6020565,2611.437744,244350.125,53.86961365,8762.650391,557544.125,9.424417496,1.895215273,13.74543476,7.945283413,5.131664753,4.872762203,8.091139793,8.566246986,14.4040966,17.75339127,17.92308998,17.6168499,14.31540298,9.05e-05,3.826178312,5.511283875,4.276679516,5.012400627,4.927983284,4.354542732,3.930601358,3.631761312,4.242424488,3.640024185,3.406813383,3.780199528,60.8363533,81.08389282,54.94420624,30.46918678,35.311306,72.35551453,132.7030945,87.43030548,80.73773956,170.9323273,103.3163376,136.0104828,0.708709304,0.893893094,0.903139708,1472,580.75,580.75,580.75,991.2755859,1219.070568,2.51766789365901,4.905925,52.354783,c(4.905925, 52.354783)
"10",10,34.7,6.250984669,0,0,0,0,1056259.75,0,0,4488721.5,42.75717926,38.89336395,33.21660614,39.84732056,6.72361e+15,15464.87109,127894.9609,291101.5938,2.846771955,0,0,0,0,26995.43945,0,0,97595.74219,191.1403503,8794.726563,41.82718658,665.8231201,33740.96484,86.35968781,2788.497803,61129.20313,212.9706573,36729.54297,17.6020565,2611.437744,244350.125,53.86961365,8762.650391,557544.125,9.424417496,1.895215273,13.74543476,7.945283413,5.131664753,4.872762203,8.091139793,8.566246986,14.4040966,17.75339127,17.92308998,17.6168499,14.31540298,9.05e-05,3.826178312,5.511283875,4.276679516,5.012400627,4.927983284,4.354542732,3.930601358,3.631761312,4.242424488,3.640024185,3.406813383,3.780199528,60.8363533,81.08389282,54.94420624,30.46918678,35.311306,72.35551453,132.7030945,87.43030548,80.73773956,170.9323273,103.3163376,136.0104828,0.704352096,0.893586369,0.903240022,1472,580.75,580.75,580.75,1004.68012,1218.678143,1.63679105707083,4.905995,52.354723,c(4.905995, 52.354723)
