id_meetlocatie,ndw_index,start_meetperiode,eind_meetperiode,waarnemingen_intensiteit,waarnemingen_snelheid,gebruikte_minuten_intensiteit,gebruikte_minuten_snelheid,data_error_snelheid,data_error_intensiteit,gem_intensiteit,gem_snelheid,gewogen_gem_snelheid,rijstrook_rijbaan,voertuigcategorie,technical_exclusion
GEO01_Z_RWSTI2039,F1C,2017-01-01 00:00:00,2017-02-01 00:00:00,571.0,571.0,44617.0,44617.0,0,0,1.0,90.93,90.87,lane1,greaterThan 1.85 and lessThanOrEqualTo 2.40,
GEO01_Z_RWSTI2039,F2C,2017-01-01 00:00:00,2017-02-01 00:00:00,132531.0,132531.0,44617.0,44617.0,0,0,178.0,90.24,88.85,lane1,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GEO01_Z_RWSTI2039,F3C,2017-01-01 00:00:00,2017-02-01 00:00:00,5323.0,5323.0,44617.0,44617.0,0,0,7.0,84.92,84.61,lane1,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GEO01_Z_RWSTI2039,F4C,2017-01-01 00:00:00,2017-02-01 00:00:00,94.0,94.0,44617.0,44617.0,0,0,0.0,73.95,74.03,lane1,greaterThan 11.50 and lessThanOrEqualTo 12.20,
GEO01_Z_RWSTI2039,F5C,2017-01-01 00:00:00,2017-02-01 00:00:00,2156.0,2156.0,44617.0,44617.0,0,0,3.0,74.9,74.83,lane1,greaterThan 12.20,
GEO01_Z_RWSTI2039,F6C,2017-01-01 00:00:00,2017-02-01 00:00:00,141156.0,140675.0,44617.0,44617.0,0,0,190.0,89.83,88.43,lane1,anyVehicle,
GEO01_Z_RWSTI2039,F1C,2017-02-01 00:00:00,2017-03-01 00:00:00,522.0,522.0,40309.0,40309.0,0,0,1.0,87.13,84.75,lane1,greaterThan 1.85 and lessThanOrEqualTo 2.40,
GEO01_Z_RWSTI2039,F2C,2017-02-01 00:00:00,2017-03-01 00:00:00,117200.0,117200.0,40309.0,40309.0,0,0,174.0,92.94,91.08,lane1,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GEO01_Z_RWSTI2039,F3C,2017-02-01 00:00:00,2017-03-01 00:00:00,5185.0,5185.0,40309.0,40309.0,0,0,8.0,86.16,85.83,lane1,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GEO01_Z_RWSTI2039,F4C,2017-02-01 00:00:00,2017-03-01 00:00:00,189.0,189.0,40309.0,40309.0,0,0,0.0,74.31,74.16,lane1,greaterThan 11.50 and lessThanOrEqualTo 12.20,
GEO01_Z_RWSTI2039,F5C,2017-02-01 00:00:00,2017-03-01 00:00:00,2036.0,2036.0,40309.0,40309.0,0,0,3.0,75.68,75.64,lane1,greaterThan 12.20,
GEO01_Z_RWSTI2039,F6C,2017-02-01 00:00:00,2017-03-01 00:00:00,125734.0,125132.0,40309.0,40309.0,0,0,187.0,92.35,90.49,lane1,anyVehicle,
GEO01_Z_RWSTI2039,F1C,2017-03-01 00:00:00,2017-04-01 00:00:00,708.0,708.0,44576.0,44576.0,0,0,1.0,92.98,93.08,lane1,greaterThan 1.85 and lessThanOrEqualTo 2.40,
GEO01_Z_RWSTI2039,F2C,2017-03-01 00:00:00,2017-04-01 00:00:00,142979.0,142979.0,44576.0,44576.0,0,0,192.0,93.92,92.15,lane1,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GEO01_Z_RWSTI2039,F3C,2017-03-01 00:00:00,2017-04-01 00:00:00,6567.0,6567.0,44576.0,44576.0,0,0,9.0,86.92,86.13,lane1,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GEO01_Z_RWSTI2039,F4C,2017-03-01 00:00:00,2017-04-01 00:00:00,93.0,93.0,44576.0,44576.0,0,0,0.0,75.89,75.95,lane1,greaterThan 11.50 and lessThanOrEqualTo 12.20,
GEO01_Z_RWSTI2039,F5C,2017-03-01 00:00:00,2017-04-01 00:00:00,2396.0,2396.0,44576.0,44576.0,0,0,3.0,75.38,74.94,lane1,greaterThan 12.20,
GEO01_Z_RWSTI2039,F6C,2017-03-01 00:00:00,2017-04-01 00:00:00,153922.0,152743.0,44576.0,44576.0,0,0,207.0,93.4,91.53,lane1,anyVehicle,
GEO01_Z_RWSTI2039,F1C,2017-04-01 00:00:00,2017-05-01 00:00:00,854.0,854.0,43103.0,43103.0,0,0,1.0,93.78,93.8,lane1,greaterThan 1.85 and lessThanOrEqualTo 2.40,
GEO01_Z_RWSTI2039,F2C,2017-04-01 00:00:00,2017-05-01 00:00:00,134196.0,134196.0,43103.0,43103.0,0,0,187.0,93.81,92.24,lane1,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GEO01_Z_RWSTI2039,F3C,2017-04-01 00:00:00,2017-05-01 00:00:00,5650.0,5650.0,43103.0,43103.0,0,0,8.0,86.0,84.8,lane1,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GEO01_Z_RWSTI2039,F4C,2017-04-01 00:00:00,2017-05-01 00:00:00,117.0,117.0,43103.0,43103.0,0,0,0.0,80.64,80.61,lane1,greaterThan 11.50 and lessThanOrEqualTo 12.20,
GEO01_Z_RWSTI2039,F5C,2017-04-01 00:00:00,2017-05-01 00:00:00,2104.0,2104.0,43103.0,43103.0,0,0,3.0,75.71,75.47,lane1,greaterThan 12.20,
GEO01_Z_RWSTI2039,F6C,2017-04-01 00:00:00,2017-05-01 00:00:00,144081.0,142921.0,43103.0,43103.0,0,0,201.0,93.29,91.62,lane1,anyVehicle,
GEO01_Z_RWSTI2039,F1C,2017-05-01 00:00:00,2017-06-01 00:00:00,832.0,832.0,43982.0,43982.0,0,0,1.0,74.08,72.37,lane1,greaterThan 1.85 and lessThanOrEqualTo 2.40,
GEO01_Z_RWSTI2039,F2C,2017-05-01 00:00:00,2017-06-01 00:00:00,138659.0,138659.0,43982.0,43982.0,0,0,189.0,90.44,89.21,lane1,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GEO01_Z_RWSTI2039,F3C,2017-05-01 00:00:00,2017-06-01 00:00:00,6351.0,6351.0,43982.0,43982.0,0,0,9.0,77.98,77.57,lane1,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GEO01_Z_RWSTI2039,F4C,2017-05-01 00:00:00,2017-06-01 00:00:00,147.0,147.0,43982.0,43982.0,0,0,0.0,69.77,69.83,lane1,greaterThan 11.50 and lessThanOrEqualTo 12.20,
GEO01_Z_RWSTI2039,F5C,2017-05-01 00:00:00,2017-06-01 00:00:00,2451.0,2451.0,43982.0,43982.0,0,0,3.0,65.07,63.88,lane1,greaterThan 12.20,
GEO01_Z_RWSTI2039,F6C,2017-05-01 00:00:00,2017-06-01 00:00:00,149981.0,148440.0,43982.0,43982.0,0,0,205.0,89.72,87.96,lane1,anyVehicle,
GEO01_Z_RWSTI2039,F1C,2017-06-01 00:00:00,2017-07-01 00:00:00,1156.0,1156.0,43091.0,43091.0,0,0,2.0,89.95,90.06,lane1,greaterThan 1.85 and lessThanOrEqualTo 2.40,
GEO01_Z_RWSTI2039,F2C,2017-06-01 00:00:00,2017-07-01 00:00:00,134745.0,134745.0,43091.0,43091.0,0,0,188.0,91.73,89.38,lane1,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GEO01_Z_RWSTI2039,F3C,2017-06-01 00:00:00,2017-07-01 00:00:00,6072.0,6072.0,43091.0,43091.0,0,0,8.0,82.97,81.53,lane1,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GEO01_Z_RWSTI2039,F4C,2017-06-01 00:00:00,2017-07-01 00:00:00,169.0,169.0,43091.0,43091.0,0,0,0.0,75.77,75.77,lane1,greaterThan 11.50 and lessThanOrEqualTo 12.20,
GEO01_Z_RWSTI2039,F5C,2017-06-01 00:00:00,2017-07-01 00:00:00,2562.0,2562.0,43091.0,43091.0,0,0,4.0,74.32,73.14,lane1,greaterThan 12.20,
GEO01_Z_RWSTI2039,F6C,2017-06-01 00:00:00,2017-07-01 00:00:00,146469.0,144704.0,43091.0,43091.0,0,0,204.0,90.99,88.66,lane1,anyVehicle,
GEO01_Z_RWSTI2039,F1C,2017-07-01 00:00:00,2017-08-01 00:00:00,976.0,976.0,44587.0,44587.0,0,0,1.0,95.27,95.12,lane1,greaterThan 1.85 and lessThanOrEqualTo 2.40,
GEO01_Z_RWSTI2039,F2C,2017-07-01 00:00:00,2017-08-01 00:00:00,140656.0,140656.0,44587.0,44587.0,0,0,189.0,92.52,90.81,lane1,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GEO01_Z_RWSTI2039,F3C,2017-07-01 00:00:00,2017-08-01 00:00:00,6181.0,6181.0,44587.0,44587.0,0,0,8.0,85.17,84.4,lane1,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GEO01_Z_RWSTI2039,F4C,2017-07-01 00:00:00,2017-08-01 00:00:00,136.0,136.0,44587.0,44587.0,0,0,0.0,77.24,77.24,lane1,greaterThan 11.50 and lessThanOrEqualTo 12.20,
