,name,rank,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,median
0,population_3000,1,1,2,1,1,1,2,2,1,2,1.0
2,road_class_3_3000,3,2,1,4,5,2,1,3,7,1,2.5
1,trafBuf25,2,3,3,3,4,5,5,5,6,3,3.5
3,population_1000,4,7,4,2,3,3,4,4,5,7,4.0
4,nightlight_450,5,4,19,6,2,10,3,1,3,5,4.5
6,nightlight_3150,7,15,7,5,8,4,14,6,20,4,7.0
8,trafBuf50,9,5,5,16,20,8,6,7,2,10,7.5
10,road_class_3_300,11,8,17,8,22,6,10,9,4,8,8.5
7,BldDen100,8,12,6,7,7,17,11,14,10,6,9.0
12,NDVI,13,11,10,9,12,18,9,16,23,17,12.5
11,road_class_2_25,12,9,8,14,16,7,18,36,9,13,12.5
14,trop_mean_filt_2019,15,14,9,13,11,14,8,11,17,12,12.5
9,trafBuf100,10,18,27,11,9,13,7,17,12,14,12.5
5,road_class_3_5000,6,13,15,23,31,16,31,10,8,9,14.0
15,road_class_1_5000,16,10,13,22,19,9,16,18,13,11,14.5
13,road_class_2_50,14,17,21,12,13,22,12,12,16,41,15.0
21,road_class_2_100,22,6,22,15,6,15,15,8,14,15,15.0
32,nightlight_900,33,23,16,10,14,12,24,19,15,22,17.5
24,population_5000,25,19,11,17,21,11,23,13,24,16,18.0
16,road_class_3_100,17,16,18,18,15,19,20,20,25,19,18.5
25,TROP_2018,26,20,14,20,27,20,25,15,19,23,20.0
20,road_class_1_3000,21,22,20,21,28,26,13,22,18,29,21.5
18,nightlight_4950,19,24,12,25,10,30,28,27,11,18,21.5
23,may,24,21,25,29,26,38,17,26,28,20,25.5
27,BldDen500,28,25,26,31,18,33,19,28,21,21,25.5
19,road_class_3_50,20,26,38,35,17,28,38,23,22,26,26.0
28,dec,29,31,23,27,32,27,30,21,27,28,27.5
22,temperature_2m_2,23,49,30,26,24,37,21,31,31,24,28.0
17,trafBuf800,18,34,32,24,23,23,37,24,48,43,28.0
31,road_class_3_25,32,29,31,40,25,21,27,29,26,32,29.0
43,trafBuf400,44,36,40,28,30,25,26,25,65,30,30.0
35,jun,36,47,34,19,29,35,41,34,30,25,34.0
33,nov,34,35,43,32,34,53,60,33,29,39,34.5
26,jul,27,33,24,43,41,43,56,37,34,34,35.5
36,radiation,37,50,36,33,36,70,32,57,38,27,36.5
41,road_class_1_500,42,32,44,34,35,29,29,46,69,53,38.5
30,wind_speed_10m_4,31,39,37,30,44,50,47,42,39,36,39.0
39,mar,40,41,29,39,50,47,43,32,36,48,40.5
45,industry_5000,46,40,48,36,53,24,46,56,35,33,43.0
29,road_class_3_1000,30,28,35,53,33,55,22,51,53,55,43.0
76,sep,77,46,55,38,64,42,48,39,42,42,44.0
54,road_class_2_300,55,30,73,77,38,36,58,30,78,38,46.5
72,temperature_2m_3,73,43,46,45,59,39,34,60,49,66,47.5
38,road_class_1_1000,39,27,28,57,48,77,40,47,76,79,47.5
61,road_class_3_500,62,54,42,73,43,49,49,62,32,50,49.5
48,road_class_2_1000,49,59,72,79,46,62,35,50,33,35,49.5
57,road_class_2_3000,58,42,47,41,57,58,53,35,63,45,50.0
64,oct,65,51,41,69,42,67,50,41,52,44,50.5
40,industry_3000,41,56,61,47,54,41,55,59,45,47,50.5
68,road_class_2_5000,69,55,33,46,37,74,64,52,50,37,51.0
46,wind_speed_10m_12,47,48,63,54,47,31,74,76,40,60,51.0
53,aug,54,52,50,71,52,46,57,48,44,70,52.0
42,wind_speed_10m_1,43,68,71,44,61,54,52,43,54,46,53.0
37,wind_speed_10m_11,38,58,74,42,49,45,69,38,64,59,53.5
59,elevation,60,45,39,67,39,61,45,58,57,52,54.5
50,apr,51,71,64,48,58,66,61,45,43,40,54.5
47,temperature_2m_4,48,44,45,70,56,48,75,54,55,71,54.5
51,wind_speed_10m_8,52,57,49,74,62,52,82,55,46,76,56.0
70,BldDen1000,71,53,51,51,60,65,39,66,37,61,56.5
63,temperature_2m_10,64,76,54,37,63,57,65,40,41,58,57.5
49,industry_1000,50,37,62,75,65,60,33,64,56,51,58.0
79,temperature_2m_6,80,62,58,56,55,34,66,70,59,49,58.5
58,wind_speed_10m_9,59,72,60,60,67,40,68,69,47,77,63.5
66,temperature_2m_8,67,70,79,49,66,73,44,53,61,54,63.5
65,jan,66,66,52,59,71,68,62,49,71,64,65.0
74,feb,75,60,57,72,70,59,70,77,51,62,66.0
62,temperature_2m_5,63,64,76,68,72,51,63,67,73,65,66.0
69,wind_speed_10m_6,70,38,53,63,51,71,72,78,72,56,66.5
60,temperature_2m_9,61,65,65,66,77,81,81,74,67,67,67.0
80,road_class_2_500,81,79,82,50,80,63,42,68,66,31,67.0
44,wind_speed_10m_2,45,63,56,61,74,75,71,79,62,83,67.0
52,wind_speed_10m_7,53,67,59,78,78,44,51,71,80,68,67.5
34,wind_speed_10m_5,35,73,78,62,68,80,67,44,68,80,68.0
67,temperature_2m_12,68,81,68,65,69,69,76,63,79,69,69.0
