"","CodeW","Jaar","Lopend_gemiddelde","Vierweekse_1","Vierweekse_2","Vierweekse_3","Vierweekse_4","Vierweekse_5","Vierweekse_6","Vierweekse_7","Vierweekse_8","Vierweekse_9","Vierweekse_10","Vierweekse_11","Vierweekse_12","Vierweekse_13","Locatie","lat","long"
"5","1HDG17",2017,28.1,40.7,35.5,36.3,26.9,19.4,24.8,19.7,18.7,27.3,24.1,24.3,33.7,34.4,"1e Hugo de Grootstraat 17",52.375953,4.874295
"21","A10 ZUID ",2017,56.2,65,60.4,65.8,61.8,47.4,58.6,48.2,46.7,39.3,50.1,58.5,64.1,65,"A10-Zuid bij voormalig meetstation GGD",52.333793,4.897935
"22","AD14",2017,39.1,49.6,36.4,48.1,41.9,32.3,31.9,37.4,29.5,36,37.6,37.4,44.3,45.9,"Adelaarsweg 14",52.384423,4.911975
"23","AD7",2017,42.9,43.7,38.3,49.1,49.5,38.8,43.8,36.3,0,41.5,38.5,43,46.2,45.9,"Adelaarsweg 7",52.384033,4.911455
"24","ADM58",2017,27,42.7,36.4,30.4,26.9,17.2,20.1,17.6,16.7,24,26,23.4,34.7,34.4,"Admiraliteitsstraat 58",52.368693,4.924805
"25","AFR212",2017,34.3,45.7,38.3,41.2,36.6,28,34.3,25.9,23.6,36,28.9,27.1,39.5,40.1,"Anne Frankstraat 212",52.369293,4.909205
"27","ALP17",2017,28.1,40.7,39.3,34.4,0,22.6,22.5,19.7,17.7,26.2,25.1,24.3,33.7,30.6,"Alard Piersonstraat 17",52.370293,4.872605
"28","AMS13",2017,37.4,45.7,41.2,43.2,40.9,29.1,41.4,29.1,28.5,36,33.7,32.7,41.4,43,"Amsteldijk 13",52.357663,4.904075
"29","AMS45",2017,32.6,41.7,38.3,40.3,33.3,24.8,28.4,21.8,23.6,30.5,31.8,29.9,41.4,37.3,"Amsteldijk 45",52.354783,4.905925
"30","AMS46",2017,34.7,46.7,42.2,38.3,33.3,26.9,30.8,22.8,25.6,37.1,31.8,30.9,42.4,42,"Amsteldijk 46",52.354723,4.905995
