OBJECTNUMMER;CodeW;Jaar;Lopend_gemiddelde;Vierweekse_1;Vierweekse_2;Vierweekse_3;Vierweekse_4;Vierweekse_5;Vierweekse_6;Vierweekse_7;Vierweekse_8;Vierweekse_9;Vierweekse_10;Vierweekse_11;Vierweekse_12;Vierweekse_13;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"2";"2021";"34.3";"35.5";"33.1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0;0;
2;"2";"2020";"30.9";"39.3";"35.6";"32.1";"24.1";"19.6";"21.8";"24.7";"26.4";"32.7";"36.4";"32.2";"37.4";"39.6";"0";"0";0;0;
3;"2";"2019";"37.3";"41.5";"47.6";"43.2";"36.2";"32.2";"27.6";"30.8";"34.4";"36.3";"34.5";"36.2";"42.5";"43.5";"0";"0";0;0;
4;"2";"2018";"40.3";"43.1";"48.3";"37.2";"48.2";"50.1";"31.5";"22.8";"35.5";"36.5";"43.4";"45.3";"39.6";"38.7";"0";"0";0;0;
5;"2";"2017";"48.4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0;0;
6;"2";"2016";"48.6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0;0;
7;"2";"2015";"49";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0;0;
8;"2";"2014";"55.8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0;0;
9;"2";"2013";"52.5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0;0;
10;"2";"2012";"59.1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0;0;
11;"2";"2011";"62.5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0;0;
12;"2";"2010";"58.6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0;0;
13;"3";"2021";"20.6";"21.2";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0;0;
14;"3";"2020";"16.9";"23.9";"24";"18";"13.9";"10.1";"11.5";"11.4";"11.9";"13.3";"16.2";"17.7";"21.1";"26.5";"0";"0";0;0;
15;"3";"2019";"19.6";"25";"34.1";"25.9";"19.3";"13.3";"12";"11.1";"13.6";"16.5";"17.2";"17.9";"26.2";"25.7";"0";"0";0;0;
16;"3";"2018";"21.5";"24.5";"30.2";"21.3";"26.1";"21.1";"12.3";"10.2";"14.5";"16";"22.3";"26.1";"27.7";"24.3";"0";"0";0;0;
17;"3";"2017";"24";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0;0;
18;"3";"2016";"23.9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0;0;
19;"3";"2015";"22";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0;0;
20;"3";"2014";"22";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0;0;
21;"3";"2013";"21.2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0;0;
22;"3";"2012";"25.3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0;0;
23;"3";"2011";"26.3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0;0;
24;"3";"2010";"26.6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0;0;
25;"7";"2021";"34.7";"36";"33.5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0;0;
26;"7";"2020";"33.9";"38.7";"32.4";"29.4";"34.6";"33.1";"28.8";"28.5";"27.9";"38";"39.1";"35.5";"34.1";"40.2";"0";"0";0;0;
27;"7";"2019";"41";"43.2";"48.9";"38.5";"49.4";"40";"34";"36.1";"38.1";"33.7";"40.7";"37";"49.6";"45.5";"0";"0";0;0;
28;"7";"2018";"45.1";"37.2";"46.7";"44";"51";"49.1";"52.7";"36.9";"47.4";"38.6";"43.3";"52.4";"47.8";"40.4";"0";"0";0;0;
29;"7";"2017";"43.9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0;0;
30;"7";"2016";"48.2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0;0;
31;"7";"2015";"45.7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0;0;
32;"7";"2014";"51.5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0;0;
33;"7";"2013";"53";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0;0;
34;"7";"2012";"55";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0;0;
35;"7";"2011";"55.4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0;0;
36;"7";"2010";"58.1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0;0;
37;"12";"2021";"29.9";"30.6";"29.1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0;0;
