OBJECTNUMMER;Code;Locatie;Type_meetpunt;Afstand_tot_gevel_m;Meting_op_wettelijke_toetsafstand;Type_meting;Opmerkingen;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"1HDG17";"1e Hugo de Grootstraat 17";"Achtergrond";0;"";"Palmes";"";"POINT(4.874295,52.375953)";"POINT(52.375953,4.874295)";4.874295;52.375953;
2;"ESW/G";"A10-West aan balkon Jephtastraat";"Snelweg";1.5;"nee";"Palmes";"";"POINT(4.845285,52.381333)";"POINT(52.381333,4.845285)";4.845285;52.381333;
3;"AD14";"Adelaarsweg 14";"Straat";3;"nee";"Palmes";"";"POINT(4.911975,52.384423)";"POINT(52.384423,4.911975)";4.911975;52.384423;
4;"AD7";"Adelaarsweg 7";"Straat";3;"nee";"Palmes";"";"POINT(4.911455,52.384033)";"POINT(52.384033,4.911455)";4.911455;52.384033;
5;"ADM58";"Admiraliteitsstraat 58";"Achtergrond";0;"";"Palmes";"";"POINT(4.924805,52.368693)";"POINT(52.368693,4.924805)";4.924805;52.368693;
6;"AFR212";"Anne Frankstraat 212";"Straat";0.1;"ja";"Palmes";"";"POINT(4.909205,52.369293)";"POINT(52.369293,4.909205)";4.909205;52.369293;
7;"AL29";"Aart van der Leeuwstraat 29";"Achtergrond";0;"";"Palmes";"";"POINT(4.831775,52.375873)";"POINT(52.375873,4.831775)";4.831775;52.375873;
8;"ALP17";"Alard Piersonstraat 17";"Achtergrond";0;"";"Palmes";"";"POINT(4.872605,52.370293)";"POINT(52.370293,4.872605)";4.872605;52.370293;
9;"AMS13";"Amsteldijk 13";"Straat";0.1;"ja";"Palmes";"";"POINT(4.904075,52.357663)";"POINT(52.357663,4.904075)";4.904075;52.357663;
10;"AMS45";"Amsteldijk 45";"Straat";0.1;"ja";"Palmes";"";"POINT(4.905925,52.354783)";"POINT(52.354783,4.905925)";4.905925;52.354783;
11;"AMS46";"Amsteldijk 46";"Straat";6.9;"nee";"Palmes";"";"POINT(4.905995,52.354723)";"POINT(52.354723,4.905995)";4.905995;52.354723;
12;"AV9";"Amstelveld 9";"Achtergrond";0;"";"Palmes";"";"POINT(4.898145,52.362523)";"POINT(52.362523,4.898145)";4.898145;52.362523;
13;"AVW211";"Amstelveenseweg 211";"Straat";6;"nee";"Palmes";"";"POINT(4.857865,52.347803)";"POINT(52.347803,4.857865)";4.857865;52.347803;
14;"AVW390";"Amstelveenseweg 390";"Straat";13;"nee";"Palmes";"";"POINT(4.857505,52.341993)";"POINT(52.341993,4.857505)";4.857505;52.341993;
15;"AVW761";"Amstelveenseweg 765";"Straat";13;"nee";"Palmes";"";"POINT(4.857525,52.328243)";"POINT(52.328243,4.857525)";4.857525;52.328243;
