"","Lopend_gemiddelde","nightlight_450","nightlight_4950","population_3000","road_class_1_5000","road_class_2_1000","road_class_2_5000","road_class_3_100","road_class_3_300","trafBuf50","Longitude","Latitude"
"1",28.1,42.19307327,35.63895416,127329.1406,82977.21875,2592.219971,70853.39844,428.568573,3112.374023,0,4.874295,52.375953
"2",56.2,25.12612915,31.61383629,91307.34375,102067.3984,5638.231934,59697.10938,0,0,3976.15539,4.897935,52.333793
"3",39.1,32.56214142,28.82163811,113002.3984,88899.375,4555.572266,59120.18359,512.2394409,3009.411377,1637.333333,4.911975,52.384423
"4",42.9,38.17052841,29.82604599,113426.3125,89963,4867.240723,59951.94922,304.3363953,2360.115479,1637.333333,4.911455,52.384033
"5",27,38.70410156,29.95841026,109224.3203,88179.25,6990.282715,54304.76953,111.1496658,1305.943726,0,4.924805,52.368693
"6",34.3,57.027668,32.97754288,123215.7188,102750.1094,5402.416992,60172.76563,369.5843506,2754.769287,0,4.909205,52.369293
"7",28.1,39.56876373,35.92507172,131827.2344,83417.09375,2411.62085,70292.63281,586.4473877,3608.95752,0,4.872605,52.370293
"8",37.4,44.55224991,33.5658226,131005.8906,97455.61719,8656.300781,62071.47266,144.8396759,2216.663818,580.75,4.904075,52.357663
"9",32.6,38.89336395,33.21660614,127894.9609,97595.74219,8794.726563,61129.20313,212.9706573,2611.437744,580.75,4.905925,52.354783
"10",34.7,38.89336395,33.21660614,127894.9609,97595.74219,8794.726563,61129.20313,212.9706573,2611.437744,580.75,4.905995,52.354723
"11",27,58.60289764,34.60275269,132802.8438,96269.94531,7501.427734,64761.3125,526.0871582,2499.436035,0,4.898145,52.362523
"12",32.5,43.89278793,30.72811317,118605.7734,85407.23438,45.02538681,56374.70703,544.9783936,5673.397461,0,4.857865,52.347803
"13",50.4,46.73835373,29.41882133,110529.8906,88292,2028.049194,54055.76172,550.2906494,2696.973877,90.25,4.857505,52.341993
"14",46.3,22.26125717,25.89041328,81764.47656,89918.34375,4602.328613,66811.66406,244.5646057,2005.575439,90.25,4.857525,52.328243
"15",25.4,47.8260994,33.53471756,136769.8594,82772.15625,1379.47583,66258.16406,543.6765137,5544.788574,0,4.873505,52.355693
"16",37.9,32.9341507,21.17134476,76172.36719,137062.9688,0,24435.51563,346.300354,1968.635132,0,4.963695,52.319463
"17",30.7,82.28007507,33.60228348,124214.7578,111931.1953,4759.710938,61634.79688,326.8077393,2102.374756,0,4.905405,52.372993
"18",31.1,48.25175858,35.85810471,128981.6172,83491.92969,2768.813232,69480.92188,0.603901386,1795.029663,0,4.879505,52.374293
"19",25.7,24.91168213,25.51894569,91164.75,78607.91406,2994.656738,49749.84766,176.1601257,2130.921631,0,4.941645,52.370663
"20",34.5,31.25723839,27.10056305,96000.39844,79545.24219,4069.835449,51391.77734,476.2654419,3075.21875,0,4.936555,52.371143
"21",32.3,31.24086952,27.91590118,106347.1172,65721.125,3491.244873,54749.30859,475.3538208,1651.140625,0,4.925155,52.379263
"22",34.2,45.38327789,32.65924454,124436.5,88673.89844,2092.792725,64070.1875,630.7178955,3034.950195,0,4.893145,52.346803
"23",28.4,30.17253113,32.19285202,124019.6797,84154.0625,2983.433594,52234.53516,191.191864,1276.354248,0,4.841445,52.360193
"24",22.1,32.84008408,24.74921608,90479.39063,90115.57031,0,39198.70703,773.1398926,3426.492188,0,4.825405,52.343993
"25",37.2,64.79379272,35.29116058,136383.7031,88400.54688,2672.617432,69026.10938,727.7450562,3906.123291,0,4.876205,52.361693
"26",25.2,32.9341507,21.17134476,74830.30469,137238.875,0,24721.42188,4.383523941,1898.768677,0,4.963905,52.320493
"27",39.3,98.38986969,34.68779755,124520.8906,86034.77344,3289.758301,63196.96094,192.5466309,1629.870605,0,4.896005,52.374993
"28",32.7,26.95290184,26.44291878,85396.0625,125027.8438,0,44540.30469,0,2073.108154,0,4.945705,52.337293
"29",29.8,27.05615616,27.69497108,86682.79688,124853.2188,492.0111389,44140.0625,350.2258301,2191.923096,0,4.942905,52.334993
"30",38.1,38.79024124,35.90926361,132260.625,82677.46875,1576.05188,71428.21875,359.5319824,1962.899414,0,4.866425,52.370133
"31",38.4,39.56876373,35.92507172,131833.4063,83220.48438,2216.704102,70623.25781,908.2457275,3507.855957,0,4.871065,52.371223
"32",26.6,40.34365463,32.95209503,119450.7031,86994.33594,3855.680908,63091.94531,214.9511261,3356.485596,0,4.893505,52.343593
"33",26.6,39.03952789,33.3934288,129019.25,97446.64844,8271.882813,61949.14063,426.4683228,4108.027344,0,4.905405,52.353793
"34",40.5,42.35194778,33.85356903,120947.0703,83226.35156,740.5933228,53212.97656,380.4152832,2488.99585,1749.166667,4.845285,52.381333
"35",44.2,40.07126999,32.92601013,115018.3203,86281.78906,4160.982422,63123.34375,701.9931641,3403.788086,580.75,4.892355,52.342693
"36",53.4,57.5760231,32.46937943,121235.5625,99056.40625,5095.405273,58570.35547,691.5585938,2188.865723,1637.333333,4.910305,52.371493
"37",27.5,37.02204514,33.95661545,120437.9688,79067.33594,3184.803711,57987.20703,694.8817139,3986.409912,0,4.849605,52.384093
"38",47.1,43.83878708,35.92510605,129409.6094,83023.60938,2629.351318,70780.61719,543.3146362,2846.053467,580.75,4.874505,52.374133
"39",26,38.41035843,33.82587051,122312.1484,88920.99219,4677.810547,64027.61719,580.6774292,4694.038574,0,4.876935,52.384563
"40",26.7,34.72172928,32.30819321,118940.4063,92194.83594,5431.552246,67881.14844,0,614.5560913,0,4.874505,52.391093
"41",30.2,44.55224991,33.5658226,131220.0781,97178.42188,8138.95459,63403.40625,415.2628479,3484.432373,0,4.901105,52.357493
"42",54.7,82.28007507,33.60228348,123684.0078,108824.3672,4840.406738,60877.26172,564.2526855,2875.592773,0,4.905055,52.374133
"43",58.5,75.4272995,33.1739006,122030.1484,108910.2891,4952.780762,60626.82031,488.1741638,2227.869385,0,4.906865,52.373143
"44",49.5,57.56385803,32.48065567,122717.2266,101004.6094,5039.562012,59464.60547,569.0466919,2381.473145,0,4.909405,52.371893
"45",53,71.72519684,32.52281952,121867.4609,89511.875,4163.37793,61987.08984,178.4422302,1691.149292,0,4.900605,52.376593
"46",38.2,37.85442352,33.44546127,122731.4766,88413.40625,5490.121582,64064.33594,557.3359375,3775.602295,0,4.873805,52.385293
"47",33.4,37.56916809,33.56179428,120437.9688,78466.25,3658.418701,58370.95313,964.9385986,2922.212891,0,4.848475,52.384763
"48",46.2,37.85442352,33.44546127,122731.4766,88336.04688,5330.419434,63392.80078,549.0789185,3944.501953,0,4.875535,52.385413
"49",27.7,53.13037109,33.42728806,124531.1875,103021.4063,7047.441895,59283.03906,446.9567261,2564.990234,0,4.911305,52.367793
"50",27.8,40.41667557,31.46198463,123232.1094,81214.89844,0,59337.40234,796.494812,6031.067871,0,4.856285,52.349773
"51",29.2,45.45718002,29.25593948,105026.4141,87060.27344,1770.009521,53880.64063,0,147.754425,0,4.853005,52.341093
"52",24,34.79991531,33.45095444,119912,94222.67188,6981.312012,62927.41016,100.2309799,4607.79834,0,4.903085,52.347303
"53",27.3,34.90384293,32.16732407,112089.8906,92481.10938,3992.568604,55706.73828,648.7960205,4326.578613,0,4.925805,52.355393
"54",31.4,31.24086952,27.91590118,110208.1094,66906.53906,3739.591553,55347.65234,386.5324402,1597.601807,0,4.923695,52.378893
"55",41.3,31.54216385,35.85561752,129934.0234,84309.52344,0,65831.46094,360.1758118,3297.603027,0,4.856635,52.374393
"56",52.1,33.35663223,35.35171127,126660.2031,83920.03125,0,61731.98047,506.8425598,4795.24707,0,4.850985,52.373063
"57",32.1,45.11491013,31.43344879,116531.1094,86729.03906,6120.272461,56358.33203,452.9136353,2268.351318,0,4.916105,52.371353
"58",27.7,45.11491013,31.43344879,115881.125,85308.94531,5981.883301,56117.23828,275.6226196,2563.713379,0,4.918005,52.371693
"59",25.5,51.86033249,34.08430481,128723.5703,96918.17969,8705.186523,62087.09375,11.22430515,1711.136963,0,4.905505,52.362593
"60",40.6,37.03470612,30.53577805,108064.1797,92072.82031,1687.706543,53533.61719,364.4801025,2876.34082,0,4.927705,52.355993
"61",28.2,76.60060883,35.28673553,136335.9844,87363.51563,2850.786621,67775.07031,763.2363892,2823.14502,0,4.882305,52.360093
"62",29.5,40.32188797,30.29498482,110227.3516,90869.16406,5072.05957,52552.42188,253.5538788,2770.456543,1637.333333,4.926115,52.365433
"63",29.3,22.89684486,26.97616577,82827.89844,124001.5547,0,44970.5,956.6425781,4342.928223,0,4.950805,52.340653
"64",36.9,32.0931282,27.58370972,93158.17969,94486.69531,2470.887451,49140.46094,651.5586548,5348.700195,0,4.939655,52.362643
"65",32.1,25.71224594,24.71197319,99087.19531,62688.16797,1915.00415,56668.35156,1057.033325,4929.319824,0,4.924285,52.388263
"66",33.3,30.70295715,27.3480854,110898.1953,87227.44531,4281.482422,58661.33594,753.8214722,3404.022461,0,4.913505,52.384893
"67",41.3,48.41710663,35.97203827,131550.5781,83589.13281,2569.690918,70181.36719,219.6494904,3317.489502,580.75,4.874475,52.370543
"68",45.1,57.02308273,35.7852478,135397.5469,89834.07031,3057.273438,69560.45313,259.0604858,2435.905762,580.75,4.878365,52.365483
"69",26.6,29.73902893,31.79800987,117117.0313,91660.47656,5029.58252,63864.17969,140.8345184,2122.858887,0,4.882805,52.390393
"70",37.3,40.35557556,30.48688698,109198.5391,88735.11719,6714.971191,53960.97656,359.2249146,1486.321411,0,4.924155,52.368003
"71",23.2,11.94689369,17.9033699,29534.26953,100870.9688,0,33972.60156,502.4937134,2210.677002,0,4.915905,52.295193
"72",25.5,9.96723175,19.47652054,35548.81641,106280.25,227.9012146,39779.62109,193.7946472,1312.202271,0,4.915705,52.301493
"73",39.2,44.55353928,34.9335556,137546.0469,87111.71094,2235.532715,69317.60938,478.7023926,2501.067627,0,4.871955,52.361863
"74",40.4,28.9072113,32.76932526,129009.9688,76463.72656,287.4712524,60516.37109,529.3045044,3149.914063,0,4.856045,52.357843
"75",42.8,64.79379272,35.29116058,135986.3594,89075.32031,2768.031006,69519.6875,423.4577332,3267.049561,0,4.876185,52.363153
"76",51.9,64.79379272,35.29116058,137025.125,88625.03906,2631.150391,69377.82813,805.6246338,3455.547363,0,4.875125,52.362563
"77",39.4,40.0404129,33.19083023,113712.0781,88568.29688,4839.120605,59251.56641,548.9227905,3393.893311,1637.333333,4.919045,52.348533
"78",28.1,50.33089447,32.90360641,123102.0391,102358.8984,7724.59668,58219.64063,348.2937012,2678.970947,0,4.912205,52.366993
"79",30.1,31.54216385,35.85561752,129934.0234,84519.32813,0,66625.54688,224.1370544,3991.776855,0,4.856595,52.373693
"80",24.6,30.53038406,30.24457932,100828.6563,95180.85938,0,50452.83984,138.9786072,1354.074463,0,4.936375,52.353453
"81",33.6,82.28007507,33.60228348,124636.1484,115883.0547,4420.013184,63443.44922,23.6405983,1622.015381,0,4.902425,52.372633
"82",34.9,34.80682373,33.45142746,119928.6406,95263.63281,7362.877441,62892.36328,411.6272583,4791.700684,0,4.904785,52.347743
"83",23,36.98006821,28.80146599,97800.25781,94306.78125,2510.805176,49094.84766,756.0623169,6049.772461,0,4.937805,52.362193
"84",26.3,31.50497055,28.81241798,86837.79688,124055.7734,3510.433105,51245.29688,244.6489105,2385.27417,0,4.936905,52.332093
"85",29.2,34.83216858,35.08402252,122827.7813,84726.82813,740.5933228,55832.58984,848.6875,5535.114258,0,4.848765,52.379963
"86",51.2,29.99199486,31.12858963,117072.125,92616.0625,5004.90918,67798.64063,115.7284012,816.7593384,0,4.874985,52.392763
"87",44.4,31.54507828,31.51593018,118330.8359,92289.67969,5241.467773,66743.26563,70.62107086,1249.179199,0,4.877075,52.392323
"88",43.1,31.54507828,31.51593018,118330.8359,92289.67969,5241.467773,66743.26563,70.62107086,1249.179199,0,4.876035,52.392713
"89",31.3,81.8447113,35.78191757,130095.8672,85354.35156,1338.08252,66045.27344,671.973938,3774.074463,0,4.889025,52.370743
"90",39.6,71.19889832,34.50657272,125274.8594,87436.78906,2642.710938,63872.41016,464.5171509,2316.944336,0,4.893075,52.376457
"91",48.8,50.29531479,33.88360977,132482.2344,95972.65625,7478.957031,64262.125,564.1534424,4011.061768,580.75,4.898315,52.357543
"92",46.3,44.55224991,33.5658226,132482.2344,96531.48438,7860.000488,64114.77344,367.3700256,3894.646484,580.75,4.900905,52.357993
"93",43.6,44.55224991,33.5658226,131005.8906,97415.96875,8443.241211,63130.50781,171.9202881,3009.868408,580.75,4.903075,52.358533
"94",51.8,76.60060883,35.28673553,135282.3438,89726.94531,2982.854736,67322.89063,53.55073166,2639.634766,580.75,4.883475,52.361583
"95",54.5,63.28334808,34.17885208,135085.5938,88129.63281,2908.27832,66800.19531,223.6884003,3461.80127,580.75,4.888495,52.358803
"96",53.4,63.28334808,34.17885208,135085.5938,88129.63281,2908.27832,66800.19531,223.6884003,3461.80127,580.75,4.888605,52.358593
"97",31.8,31.24086952,27.91590118,106347.1172,65721.125,3491.244873,54749.30859,475.3538208,1651.140625,0,4.924325,52.379923
"98",30.8,31.24086952,27.91590118,106347.1172,65721.125,3491.244873,54749.30859,475.3538208,1651.140625,0,4.924025,52.379683
"99",42.6,34.72172928,32.30819321,118214.0391,91951.1875,5286.881836,65195.98438,232.2311401,1918.708252,0,4.879445,52.391363
"100",35.3,29.73902893,31.79800987,117117.0313,91660.47656,5029.58252,63864.17969,140.8345184,2122.858887,0,4.882105,52.390993
"101",30.6,71.19889832,34.50657272,125274.8594,87436.78906,2642.710938,63872.41016,464.5171509,2316.944336,0,4.892905,52.376993
"102",25.3,32.00411606,34.85959244,128817.8594,83580.21094,0,63736.07422,579.8828125,6283.230469,0,4.851405,52.371893
"103",24.6,29.14658165,26.07340622,82822.02344,91987.83594,5233.380371,66926.25781,219.8091278,2713.620361,0,4.861705,52.329093
"104",26.9,75.4234848,34.38027954,125889.5,106976.2344,4353.777832,62503.21094,0.195765868,1122.383911,0,4.905305,52.370693
"105",41.8,58.60289764,34.60275269,132738.4063,96212.74219,7292.976563,64844.52734,247.3829803,2193.42334,0,4.898495,52.363153
"106",24.6,39.84796906,34.77856064,124108.4531,85133.39844,2218.611816,66631.07031,240.4347687,2763.312256,0,4.869365,52.381143
"107",28,29.73902893,31.79800987,117566.2734,90676.50781,5176.131836,62384.42578,1.44278574,838.0592041,0,4.886315,52.389233
"108",28.4,38.81426239,29.51972771,108416.9609,91243.35156,5076.842773,52259.84766,398.280304,3011.253662,0,4.926965,52.365183
"109",51.2,72.80783844,34.41397095,128434.0234,101572.0625,4344.432617,63284.64844,107.5215378,653.1414185,1637.333333,4.903905,52.368493
"110",43.5,57.027668,32.97754288,124685.0313,103655.2891,4552.697754,60842.23438,288.3375549,2584.198975,1637.333333,4.908235,52.369913
"111",45.7,57.027668,32.97754288,124685.0313,103655.2891,4552.697754,60842.23438,288.3375549,2584.198975,1637.333333,4.907715,52.370053
"112",40.4,44.55224991,33.5658226,131947.1875,96393.94531,7567.174316,63702.15625,618.630249,4595.268555,0,4.900235,52.355933
"113",34.7,54.23392105,32.35163498,118670.2031,90890.52344,4877.79834,62087.17578,62.93836975,595.7422485,580.75,4.892805,52.383953
"114",33.7,51.42490387,33.43677139,121136.6563,91168.24219,5489.242188,64549.16016,293.2841187,3058.102783,0,4.891305,52.382593
"115",36.6,43.82687378,33.17541504,125889.1172,94022.34375,9408.644531,59266.55469,161.308609,1300.987915,1637.333333,4.910345,52.356643
"116",36.5,59.76128387,34.48246384,137429.75,85191.9375,2206.281982,66457.42969,554.6870728,5354.052734,0,4.876675,52.357553
"117",34.5,48.96345139,33.37316513,128723.5703,96661.08594,9228.9375,61245.71484,162.4360199,1958.240601,1637.333333,4.907905,52.361993
"118",38.6,62.07860184,34.55218124,129179.3203,97383.05469,7854.803711,62409.40625,47.4853363,881.3156738,1637.333333,4.905605,52.364793
"119",36.9,49.34039688,33.37805939,128606.5547,97935.96875,8451.509766,61633.67578,145.8519897,1861.627808,1637.333333,4.906645,52.363823
"120",21,3.959967852,6.307385445,20097.25781,41071.05859,0,38963.87891,189.4553986,1147.777954,0,4.746105,52.473993
"121",26.2,21.20412827,14.92600155,55983.30469,61552.25,6059.541992,45406.33594,347.8868408,2164.08374,1626.5,4.813605,52.440993
"122",39.2,17.9925518,19.42955208,69631.40625,79335.79688,5015.147949,59190.10938,172.4355316,3350.477051,1559.5,4.839905,52.429593
"123",28.1,17.2349453,5.417706966,32101.10156,34814.87891,4109.953613,32011.54492,78.16789246,1364.359985,132.6666667,4.758505,52.495393
"124",25.1,15.72893715,5.107383251,39831.72656,24270.47461,7785.543457,31395.07031,184.2788696,1222.599976,0,4.778205,52.496993
"125",23.9,14.7399044,6.285713673,37380.17969,39494.82031,3449.533936,31706.55273,655.5891724,1601.051636,132.6666667,4.803105,52.486393
"126",25.3,18.48405647,8.83671093,40151.63281,42506.9375,3994.552979,48845.53125,115.5977097,987.3321533,132.6666667,4.806005,52.467693
"127",25.4,18.34195328,9.653831482,45468.89844,48663.56641,3803.023193,47353.53125,334.0811462,1304.939087,0,4.817605,52.459493
