,name,rank,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,median
1,trafBuf50,2,1,1,1,1,2,1,3,1,1,1.0
0,road_class_2_5000,1,2,3,2,2,4,5,2,4,5,2.5
2,nightlight_900,3,3,2,5,5,1,7,1,2,4,3.0
3,Rsp,4,8,5,3,3,5,8,5,5,3,5.0
6,nightlight_450,7,4,7,6,4,3,11,9,6,2,6.0
13,NDVI,14,10,11,13,6,8,6,4,16,6,9.0
4,BldDen100,5,5,15,8,19,6,12,7,27,24,10.0
9,trafBuf25,10,9,10,17,22,44,3,28,3,8,10.0
12,population_5000,13,7,13,9,7,7,44,25,10,30,11.5
8,road_class_3_100,9,22,4,40,9,13,27,24,14,7,13.5
5,road_class_3_1000,6,16,16,12,10,15,20,6,23,13,14.0
10,road_class_3_25,11,11,22,20,15,9,13,22,17,14,14.5
14,industry_3000,15,18,12,4,17,12,14,17,11,33,14.5
31,road_class_2_500,32,15,32,7,16,18,2,20,22,9,17.0
15,road_class_3_50,16,17,17,35,8,30,16,15,19,27,17.0
17,road_class_1_1000,18,28,9,15,21,11,69,27,9,16,17.0
19,road_class_3_5000,20,12,26,16,11,28,18,16,32,28,19.0
33,BldDen500,34,13,25,24,14,10,49,36,7,12,19.0
24,road_class_1_5000,25,14,33,10,26,17,19,19,18,25,19.0
20,road_class_2_3000,21,23,8,21,34,27,22,37,13,11,21.5
7,trafBuf800,8,29,6,30,18,23,34,14,20,39,21.5
16,oct,17,25,23,51,20,22,15,42,37,22,22.5
11,road_class_3_3000,12,35,14,22,50,20,24,26,40,26,25.0
25,population_3000,26,38,34,25,12,14,9,41,12,41,25.5
22,elevation,23,33,24,28,28,37,29,13,24,15,26.0
26,road_class_3_300,27,44,27,50,31,25,23,21,34,17,27.0
32,industry_5000,33,6,38,36,36,21,43,8,8,10,27.0
21,nightlight_4950,22,21,49,23,32,19,42,49,30,53,31.0
29,road_class_2_1000,30,42,31,33,24,29,32,34,43,20,31.5
27,road_class_2_25,28,40,20,31,33,50,52,10,47,21,32.0
56,trop_mean_filt,57,19,18,18,40,34,36,58,31,19,32.5
28,temperature_2m_3,29,26,19,53,45,48,28,55,26,37,33.0
41,road_class_1_3000,42,31,36,49,35,16,38,12,21,29,33.0
34,trafBuf400,35,37,46,38,27,24,30,51,15,32,33.5
23,nightlight_3150,24,34,35,19,55,43,10,23,35,47,34.5
18,road_class_1_300,19,63,44,37,47,31,25,33,29,73,35.0
38,temperature_2m_2,39,20,39,39,43,33,41,35,33,23,37.0
39,BldDen1000,40,30,37,32,23,32,55,43,39,38,37.5
37,population_1000,38,53,29,60,38,35,45,18,51,31,38.0
40,radiation,41,27,47,29,48,55,17,29,53,35,38.0
35,road_class_2_100,36,39,43,26,39,42,21,56,38,51,39.0
51,road_class_3_500,52,36,28,43,30,46,26,31,55,42,39.0
30,road_class_1_500,31,41,51,11,29,45,51,38,28,46,39.5
60,trafBuf100,61,54,48,41,13,40,4,11,36,67,40.5
36,road_class_2_300,37,45,50,55,42,49,40,40,25,40,41.0
44,temperature_2m_8,45,50,40,27,37,26,50,48,48,34,42.5
59,industry_1000,60,56,41,34,25,39,46,39,49,54,43.5
42,OMI_mean_filt,43,48,53,45,54,41,37,46,41,48,45.5
65,apr,66,61,21,58,53,47,35,50,42,18,48.5
50,road_class_2_50,51,43,30,61,65,53,68,30,44,84,52.0
66,jan,67,60,58,46,41,52,47,47,58,52,52.0
48,industry_500,49,47,45,14,77,38,65,57,76,58,53.0
54,temperature_2m_7,55,51,60,57,46,67,63,45,54,49,54.5
62,nov,63,49,42,69,49,63,58,74,52,50,55.0
53,road_class_1_100,54,66,63,47,44,59,33,32,56,60,55.0
72,temperature_2m_6,73,55,56,56,56,54,70,44,57,57,56.0
46,temperature_2m_5,47,52,55,54,71,57,48,68,66,69,56.0
47,temperature_2m_4,48,58,77,67,52,36,61,54,65,45,56.0
55,feb,56,59,54,44,57,56,64,66,50,43,56.0
45,temperature_2m_10,46,62,64,48,58,58,31,70,69,36,58.0
43,jun,44,72,66,66,67,51,39,60,59,44,59.5
75,sep,76,69,73,64,60,60,60,82,46,55,62.0
73,temperature_2m_9,74,24,52,74,62,81,59,62,85,63,62.5
52,aug,53,68,62,42,80,86,62,79,63,56,62.5
77,wind_speed_10m_9,78,73,65,59,51,61,54,78,70,64,64.5
81,jul,82,65,80,63,64,66,57,71,60,59,64.5
67,industry_300,68,64,75,68,84,65,73,63,73,61,68.0
58,wind_speed_10m_3,59,83,84,65,73,68,53,53,68,80,68.0
64,mar,65,57,85,77,66,84,71,59,81,65,68.5
68,wind_speed_10m_12,69,67,68,81,69,72,80,67,80,78,70.5
80,temperature_2m_1,81,46,70,79,68,64,79,72,71,68,70.5
70,dec,71,84,71,72,63,78,56,77,45,71,71.0
82,wind_speed_10m_5,83,74,61,73,83,73,76,65,79,72,73.5
78,temperature_2m_11,79,87,78,70,82,62,72,76,62,70,74.0
84,wind_speed_10m_1,85,75,72,76,59,70,74,84,64,83,74.5
63,wind_speed_10m_4,64,71,76,80,75,83,77,64,61,79,75.5
69,may,70,86,57,85,76,74,81,61,77,75,75.5
76,wind_speed_10m_8,77,70,81,78,81,69,83,73,75,66,76.0
61,wind_speed_10m_7,62,79,74,84,61,79,78,69,84,62,76.0
57,wind_speed_10m_2,58,77,67,71,72,82,84,83,82,76,76.5
74,wind_speed_10m_10,75,80,59,75,78,75,82,81,67,85,76.5
83,temperature_2m_12,84,78,82,62,74,71,75,85,78,77,77.5
85,road_class_1_50,86,76,79,52,88,85,67,52,72,82,77.5
71,wind_speed_10m_6,72,85,69,83,70,77,85,80,74,86,78.5
79,wind_speed_10m_11,80,82,83,82,79,76,66,75,83,81,80.5
49,road_class_1_25,50,32,86,87,86,80,87,87,86,74,86.0
86,industry_100,87,88,87,89,85,87,86,86,87,89,87.0
88,industry_50,89,81,88,86,87,88,89,89,88,87,88.0
87,industry_25,88,89,89,88,89,89,88,88,89,88,88.5
