,Lopend_gemiddelde,Latitude,Longitude,elevation,industry_3000,industry_5000,nightlight_450,nightlight_4950,nightlight_900,population_3000,population_5000,road_class_1_1000,road_class_1_5000,road_class_2_1000,road_class_2_25,road_class_2_3000,road_class_2_500,road_class_2_5000,road_class_3_100,road_class_3_1000,road_class_3_25,road_class_3_300,road_class_3_3000,road_class_3_50,road_class_3_5000,Rsp,oct,BldDen100,BldDen500,NDVI,trafBuf25,trafBuf50,trafBuf800
0,28.1,52.375953,4.874295,5.98273468,2321363.5,11116601.0,42.19307327,35.63895416,45.65129471,127329.1406,337766.0625,0.0,82977.21875,2592.219971,0.0,24632.15234,1246.44043,70853.39844,428.568573,31875.82422,105.7292633,3112.374023,240209.7031,194.9259796,576250.5625,9.67419529,80.9697113,0.997533875,0.953362402,1842.0,0.0,0.0,580.75
1,56.2,52.333793,4.897935,4.52658844,1831875.0,2688469.5,25.12612915,31.61383629,27.05598068,91307.34375,259490.6875,7630.72168,102067.3984,5638.231934,0.0,28936.45508,1.261906624,59697.10938,0.0,7477.381836,0.0,0.0,197022.5469,0.0,508921.875,8.966270447,80.93419647,0.541161265,0.245163522,2725.0,3971.845502,3976.15539,2057.592956
2,39.1,52.384423,4.911975,3.53452301,2229101.75,6684489.5,32.56214142,28.82163811,34.33795929,113002.3984,276453.3125,5527.987793,88899.375,4555.572266,0.0,29757.46094,0.0,59120.18359,512.2394409,23771.49414,72.04234314,3009.411377,206470.1875,171.625412,499474.5625,9.641530037,80.68929291,0.0,0.030937996,1182.0,0.0,1637.333333,1637.333333
3,42.9,52.384033,4.911455,3.252728224,2253919.25,6744550.0,38.17052841,29.82604599,42.28204346,113426.3125,278613.2188,5057.916504,89963.0,4867.240723,0.0,30918.00781,0.0,59951.94922,304.3363953,21142.3418,19.73734856,2360.115479,207631.3906,67.19966125,507848.75,9.636688232,80.68929291,0.0,0.011044106,637.0,0.0,1637.333333,1637.333333
4,27.0,52.368693,4.924805,5.791728973,1251322.25,4941854.0,38.70410156,29.95841026,39.80381775,109224.3203,268250.8125,1914.580078,88179.25,6990.282715,0.0,27483.03516,952.99823,54304.76953,111.1496658,23020.3457,0.179775059,1305.943726,211429.8281,6.303001881,545223.8125,9.475897789,80.56183624,0.946324551,0.938812361,1536.0,0.0,0.0,1637.333333
5,34.3,52.369293,4.909205,7.276055336,1386614.125,6176649.5,57.027668,32.97754288,57.98173523,123215.7188,302895.3125,2365.20752,102750.1094,5402.416992,0.0,32794.53906,1463.252808,60172.76563,369.5843506,18398.83008,70.29138184,2754.769287,254256.0625,140.6513672,579502.625,9.527196884,80.72951508,0.996978417,0.904366972,2046.0,0.0,0.0,1631.152012
6,28.1,52.370293,4.872605,5.654540062,1260650.75,9647791.0,39.56876373,35.92507172,41.22536469,131827.2344,338575.0,0.0,83417.09375,2411.62085,0.0,26288.90625,1063.950562,70292.63281,586.4473877,27011.46289,42.04589844,3608.95752,269497.25,117.2405167,591990.5625,9.648513794,81.13674927,0.993613342,0.955959649,1493.0,0.0,0.0,580.75
7,37.4,52.357663,4.904075,6.244177341,658632.5625,4895809.5,44.55224991,33.5658226,46.76322937,131005.8906,300750.0,0.0,97455.61719,8656.300781,48.84202576,33595.67578,4102.925293,62071.47266,144.8396759,32961.49609,16.58462334,2216.663818,252116.4531,38.23590851,560451.25,9.452280045,80.73550415,0.818827437,0.882715715,1274.0,580.75,580.75,1257.877975
8,32.6,52.354783,4.905925,6.250984669,1056259.75,4488721.5,38.89336395,33.21660614,39.84732056,127894.9609,291101.5938,0.0,97595.74219,8794.726563,41.82718658,33740.96484,2788.497803,61129.20313,212.9706573,36729.54297,17.6020565,2611.437744,244350.125,53.86961365,557544.125,9.424417496,80.73773956,0.708709304,0.893893094,1472.0,580.75,580.75,1219.070568
9,34.7,52.354723,4.905995,6.250984669,1056259.75,4488721.5,38.89336395,33.21660614,39.84732056,127894.9609,291101.5938,0.0,97595.74219,8794.726563,41.82718658,33740.96484,2788.497803,61129.20313,212.9706573,36729.54297,17.6020565,2611.437744,244350.125,53.86961365,557544.125,9.424417496,80.73773956,0.704352096,0.893586369,1472.0,580.75,580.75,1218.678143
