"","AverageHourlyTraffic","long","lat"
"6",941.333333333333,6.98198701,49.41525237
"7",28.125,7.59466706,51.83337406
"11",1142.95833333333,6.96542469,49.60100133
"13",2863.375,9.2877355,53.19533776
"14",2572.70833333333,9.9660325,53.37916596
"15",211.791666666667,6.81745222,50.75955211
"18",688.083333333333,7.0146414,49.34722888
"19",4218.41666666667,8.94822839,53.02759694
"20",3963.58333333333,8.80731667,53.02357124
"21",4872.75,8.87299414,53.03507153
"22",4174.125,7.46259063,51.40099313
"23",859.875,6.97836951,49.47640096
"24",466.208333333333,7.62595482,51.48714712
"25",1501.75,6.83684715,49.87684895
"27",670.083333333333,6.99875523,49.32787027
"28",2225.20833333333,6.79765141,50.83880436
"29",1364.25,7.00272519,49.36782577
"30",751.041666666667,6.97381652,49.57059938
"31",832.958333333333,6.96243098,49.27986791
"33",3971.20833333333,6.91165795,51.00823915
"34",2621.20833333333,7.74398143,52.1583303
"35",1028.95833333333,6.87189014,50.08319972
"36",3158,7.93622592,52.28149925
"37",862.375,6.67070273,50.49285687
"39",1065.70833333333,6.95678203,49.61333587
"41",863.5,6.98932774,49.58985884
"44",476.166666666667,6.95722539,49.29163294
"45",3425.875,7.17333592,51.12403353
"46",4844.29166666667,7.66382597,51.55124562
"47",4154.20833333333,8.97084266,53.03604616
"50",4028.20833333333,8.85923951,52.21056627
"52",3879.75,8.55824098,51.94917628
"55",3923.54166666667,9.49755377,52.40234867
"57",3765.29166666667,7.0747879,51.56421738
"58",3803.83333333333,9.43989026,52.36465323
"59",4546.04166666667,9.52349373,52.41655247
"62",3471.54166666667,9.2851475,52.24351343
"65",3534.625,9.36052721,52.2910758
"68",5255.375,6.86456552,51.53895621
"69",3011.79166666667,8.16590641,51.81759438
"72",3478.45833333333,7.24194345,51.59401481
"73",3299.83333333333,9.15122231,52.2192006
"74",3114.5,9.03837151,52.22031235
"77",3898.66666666667,7.47744975,51.57507373
"79",4260.45833333333,7.77733876,50.45366591
"81",4202.79166666667,7.09134656,50.9184901
"82",5899.04166666667,8.52303283,50.03832243
"83",5133.91666666667,8.4820477,50.02577147
"84",4038.70833333333,9.02991729,49.98827092
"85",3573.91666666667,9.83747929,49.74931005
"86",2688.54166666667,9.79432498,49.75091045
"88",3493.70833333333,7.24245544,50.78080043
"89",3572.75,7.23855953,50.72885478
"92",4227.20833333333,6.86307597,51.34676233
"96",5246,6.92233632,51.21861856
"97",4848.29166666667,6.96680084,51.15105228
"98",5234,7.00231375,51.04765248
"99",6449.375,7.00958203,51.03301976
"103",5850.25,6.81317061,51.48196416
"108",315.875,7.59429238,50.537435
"112",392.875,9.21893582,50.00292855
"118",3561.95833333333,7.75624864,50.48118977
"120",26.4166666666667,9.7148333,49.77375676
"125",3381.91666666667,7.44646752,50.59476202
"127",3364.04166666667,7.37034141,50.63446934
"128",4824.29166666667,6.81907187,51.38841477
"129",1506.625,6.17951768,51.88510268
"130",3802.45833333333,7.9960041,50.41015961
"133",3793.20833333333,7.90610908,50.44873907
"134",3844.75,9.18515248,49.99394136
"135",5381.91666666667,8.85532198,50.06110773
"136",3358.66666666667,8.93008241,50.04519366
"137",3071.04166666667,9.22913755,50.00219934
"138",2556,6.75747458,51.62478463
"139",3983.58333333333,8.24563597,50.24104069
"142",387.666666666667,8.1163085,50.368295
"143",4370.04166666667,8.34918282,50.10223896
"146",5245.75,6.81495654,51.52388995
"147",4797.66666666667,6.98791242,51.06493189
"151",3059.125,7.67398535,50.52362193
"158",4459.91666666667,8.43350377,50.03681776
"159",3492.875,9.88854929,49.74918532
"160",1524.70833333333,6.02932951,50.81429594
"163",409.458333333333,7.04193767,50.91931084
"164",3245.625,6.20857313,50.81414195
"168",4167.54166666667,6.70170677,50.89793813
"169",3937.875,6.69167857,50.89281951
"171",3122.41666666667,7.14457682,50.95023279
"172",3157.79166666667,6.55007521,50.85378971
"174",1481.70833333333,7.66096136,50.96595065
"175",2096.16666666667,7.37074022,50.97107101
"182",5112.95833333333,6.86018232,50.92067006
"186",5752.79166666667,6.98456355,50.89443393
"192",802.541666666667,7.88958286,50.99524346
"193",234.75,6.12857239,50.80277293
"194",2326.45833333333,9.50277084,50.80456522
"195",5649.79166666667,8.60655325,50.16332258
"196",2084.66666666667,8.73412947,50.48821291
"197",411.458333333333,8.71471827,50.45603626
"198",3029.875,8.07649789,48.70382334
"199",2351.58333333333,9.28744233,50.74295513
"200",3165.58333333333,8.63697007,49.40530571
"201",6561.33333333333,8.61471136,50.0741169
"202",240.583333333333,9.03555777,50.68369825
"203",5585.45833333333,8.60327631,49.88457672
"204",2622.54166666667,8.94272696,50.63819838
