id_meetlocatie,ndw_index,start_meetperiode,eind_meetperiode,waarnemingen_intensiteit,waarnemingen_snelheid,gebruikte_minuten_intensiteit,gebruikte_minuten_snelheid,data_error_snelheid,data_error_intensiteit,gem_intensiteit,gem_snelheid,gewogen_gem_snelheid,rijstrook_rijbaan,voertuigcategorie,technical_exclusion
GEO02_R_RWSTI4340,F1C,2017-01-01 00:00:00,2017-02-01 00:00:00,0.0,0.0,44440.0,0.0,1,0,0.0,-1.0,-1.0,lane1,greaterThan 1.85 and lessThanOrEqualTo 2.40,
GEO02_R_RWSTI4340,F2C,2017-01-01 00:00:00,2017-02-01 00:00:00,0.0,0.0,44440.0,0.0,1,0,0.0,-1.0,-1.0,lane1,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GEO02_R_RWSTI4340,F3C,2017-01-01 00:00:00,2017-02-01 00:00:00,0.0,0.0,44440.0,0.0,1,0,0.0,-1.0,-1.0,lane1,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GEO02_R_RWSTI4340,F4C,2017-01-01 00:00:00,2017-02-01 00:00:00,0.0,0.0,44440.0,0.0,1,0,0.0,-1.0,-1.0,lane1,greaterThan 11.50 and lessThanOrEqualTo 12.20,
GEO02_R_RWSTI4340,F5C,2017-01-01 00:00:00,2017-02-01 00:00:00,0.0,0.0,44440.0,0.0,1,0,0.0,-1.0,-1.0,lane1,greaterThan 12.20,
GEO02_R_RWSTI4340,F6C,2017-01-01 00:00:00,2017-02-01 00:00:00,709156.0,0.0,44440.0,0.0,1,0,957.0,-1.0,-1.0,lane1,anyVehicle,
GEO02_R_RWSTI4340,F13C,2017-01-01 00:00:00,2017-02-01 00:00:00,0.0,0.0,44440.0,0.0,1,0,0.0,-1.0,-1.0,lane2,greaterThan 1.85 and lessThanOrEqualTo 2.40,
GEO02_R_RWSTI4340,F14C,2017-01-01 00:00:00,2017-02-01 00:00:00,0.0,0.0,44440.0,0.0,1,0,0.0,-1.0,-1.0,lane2,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GEO02_R_RWSTI4340,F15C,2017-01-01 00:00:00,2017-02-01 00:00:00,0.0,0.0,44440.0,0.0,1,0,0.0,-1.0,-1.0,lane2,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GEO02_R_RWSTI4340,F16C,2017-01-01 00:00:00,2017-02-01 00:00:00,0.0,0.0,44440.0,0.0,1,0,0.0,-1.0,-1.0,lane2,greaterThan 11.50 and lessThanOrEqualTo 12.20,
GEO02_R_RWSTI4340,F17C,2017-01-01 00:00:00,2017-02-01 00:00:00,0.0,0.0,44440.0,0.0,1,0,0.0,-1.0,-1.0,lane2,greaterThan 12.20,
GEO02_R_RWSTI4340,F18C,2017-01-01 00:00:00,2017-02-01 00:00:00,256734.0,0.0,44440.0,0.0,1,0,347.0,-1.0,-1.0,lane2,anyVehicle,
GEO02_R_RWSTI4340,F1C,2017-02-01 00:00:00,2017-03-01 00:00:00,0.0,0.0,40308.0,0.0,1,0,0.0,-1.0,-1.0,lane1,greaterThan 1.85 and lessThanOrEqualTo 2.40,
GEO02_R_RWSTI4340,F2C,2017-02-01 00:00:00,2017-03-01 00:00:00,0.0,0.0,40308.0,0.0,1,0,0.0,-1.0,-1.0,lane1,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GEO02_R_RWSTI4340,F3C,2017-02-01 00:00:00,2017-03-01 00:00:00,0.0,0.0,40308.0,0.0,1,0,0.0,-1.0,-1.0,lane1,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GEO02_R_RWSTI4340,F4C,2017-02-01 00:00:00,2017-03-01 00:00:00,0.0,0.0,40308.0,0.0,1,0,0.0,-1.0,-1.0,lane1,greaterThan 11.50 and lessThanOrEqualTo 12.20,
GEO02_R_RWSTI4340,F5C,2017-02-01 00:00:00,2017-03-01 00:00:00,0.0,0.0,40308.0,0.0,1,0,0.0,-1.0,-1.0,lane1,greaterThan 12.20,
GEO02_R_RWSTI4340,F6C,2017-02-01 00:00:00,2017-03-01 00:00:00,664232.0,0.0,40308.0,0.0,1,0,989.0,-1.0,-1.0,lane1,anyVehicle,
GEO02_R_RWSTI4340,F13C,2017-02-01 00:00:00,2017-03-01 00:00:00,0.0,0.0,40308.0,0.0,1,0,0.0,-1.0,-1.0,lane2,greaterThan 1.85 and lessThanOrEqualTo 2.40,
GEO02_R_RWSTI4340,F14C,2017-02-01 00:00:00,2017-03-01 00:00:00,0.0,0.0,40308.0,0.0,1,0,0.0,-1.0,-1.0,lane2,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GEO02_R_RWSTI4340,F15C,2017-02-01 00:00:00,2017-03-01 00:00:00,0.0,0.0,40308.0,0.0,1,0,0.0,-1.0,-1.0,lane2,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GEO02_R_RWSTI4340,F16C,2017-02-01 00:00:00,2017-03-01 00:00:00,0.0,0.0,40308.0,0.0,1,0,0.0,-1.0,-1.0,lane2,greaterThan 11.50 and lessThanOrEqualTo 12.20,
GEO02_R_RWSTI4340,F17C,2017-02-01 00:00:00,2017-03-01 00:00:00,0.0,0.0,40308.0,0.0,1,0,0.0,-1.0,-1.0,lane2,greaterThan 12.20,
GEO02_R_RWSTI4340,F18C,2017-02-01 00:00:00,2017-03-01 00:00:00,239667.0,0.0,40308.0,0.0,1,0,357.0,-1.0,-1.0,lane2,anyVehicle,
GEO02_R_RWSTI4340,F1C,2017-03-01 00:00:00,2017-04-01 00:00:00,0.0,0.0,44574.0,0.0,1,0,0.0,-1.0,-1.0,lane1,greaterThan 1.85 and lessThanOrEqualTo 2.40,
